N,family,alpha_star,is_min_over_families,recorded_bracket_lo,recorded_bracket_hi,symmetry,closest_pair_over_size,circulation_span,redHess_min,source
5,S,5.8442984558,1,,,none,0.2261,279.1,9.79,"continuation of the alpha=2 least minimum (same family as S at N=9,10)"
6,S,3.9033151082,1,,,none,0.1617,97.75,2.73,"continuation of the alpha=2 least minimum (same family as S at N=9,10)"
7,S,3.0667922324,1,,,none,0.1265,61.54,1.16,"continuation of the alpha=2 least minimum (same family as S at N=9,10)"
8,S,2.5993690531,1,,,none,0.1027,51.39,0.616,"continuation of the alpha=2 least minimum (same family as S at N=9,10)"
9,S,2.3000208434,1,2.3,2.3000976562499997,none,0.08745,45.05,0.376,"recorded SQG-family threshold, polished (KKT)"
10,S,2.0913751011,1,2.0913085937500004,2.0914062500000004,none,0.07517,42.34,0.252,"recorded SQG-family threshold, polished (KKT)"
11,S,1.9372878365,1,1.9372070312500007,1.9373046875000008,none,0.06679,40.67,0.18,"recorded SQG-family threshold, polished (KKT)"
12,S,1.8186003829,1,1.8185546875000005,1.8186523437500006,none,0.05929,39.65,0.135,"recorded SQG-family threshold, polished (KKT)"
13,E-odd(C2),2.8803403266,0,2.880273437499998,2.880371093749998,C2 (centre + pairs),0.1475,12.61,0.0547,"recorded Euler-family threshold, polished (KKT)"
13,S,1.7242055885,1,1.7241210937500004,1.7242187500000006,none,0.05388,39.44,0.105,"recorded SQG-family threshold, polished (KKT)"
14,E-even,2.6072694619,0,2.6072265624999984,2.6073242187499988,none,0.1218,11.77,0.0457,"recorded Euler-family threshold, polished (KKT)"
14,S,1.6472173016,1,1.6471679687500007,1.6472656250000006,none,0.04895,39.25,0.0843,"recorded SQG-family threshold, polished (KKT)"
15,E-odd(C2),2.4116505438,0,2.4116210937499996,2.4117187499999995,C2 (centre + pairs),0.122,9.646,0.0393,"recorded Euler-family threshold, polished (KKT)"
15,S,1.5831373323,1,1.5831054687500008,1.5832031250000007,none,0.04511,39.52,0.0691,"recorded SQG-family threshold, polished (KKT)"
16,E-even,2.2453024599,0,2.24521484375,2.2453125,none,0.1048,12.05,0.0439,"recorded Euler-family threshold, polished (KKT)"
16,S,1.5289016622,1,1.5288085937500004,1.5289062500000004,none,0.04168,39.86,0.0577,"recorded SQG-family threshold, polished (KKT)"
17,E-odd(C2),2.1166919934,0,2.1166015625000005,2.1166992187500004,C2 (centre + pairs),0.105,10.47,0.0341,"recorded Euler-family threshold, polished (KKT)"
17,S,1.4823502002,1,1.4823242187500005,1.4824218750000004,none,0.03881,40.26,0.0491,"recorded SQG-family threshold, polished (KKT)"
18,E-even,2.0048200024,0,2.004785156250001,2.004882812500001,none,0.09051,12.45,0.0367,"recorded Euler-family threshold, polished (KKT)"
18,S,1.4419157286,1,1.4418945312500004,1.4419921875000006,none,0.03629,40.9,0.0422,"recorded SQG-family threshold, polished (KKT)"
19,E-odd(C2),1.9139119065,0,1.9138671875000008,1.913964843750001,C2 (centre + pairs),0.09078,11.69,0.0288,"recorded Euler-family threshold, polished (KKT)"
19,S,1.4064331163,1,1.4063476562500004,1.4064453125000005,none,0.03406,41.48,0.0368,"recorded SQG-family threshold, polished (KKT)"
20,E-even,1.8334710349,0,1.833398437500001,1.8334960937500009,none,0.08083,13.45,0.0302,"recorded Euler-family threshold, polished (KKT)"
20,S,1.3750178150,1,1.3750000000000004,1.3750976562500004,none,0.03213,42.19,0.0324,"recorded SQG-family threshold, polished (KKT)"
